stage,initial_q,priority_weight_size,priority_weight_depth,system_throughput_tps,tag_loss_rate,average_identification_delay_ms
1,7.0000,5.0000,0.1000,612.0000,0.3884,618.5328
1,6.0000,0.1000,0.2000,548.5000,0.4591,649.6878
1,4.0000,1.0000,0.1200,527.3000,0.4694,645.0340
1,5.0000,0.5000,0.1200,537.9000,0.4629,647.2483
1,7.0000,0.5000,0.5000,589.2000,0.4072,635.3185
1,8.0000,1.5000,0.0500,666.7000,0.3289,580.3884
1,9.0000,0.5000,0.2000,723.5000,0.2657,555.9886
1,4.0000,5.0000,0.0500,525.4000,0.4648,650.6839
1,8.0000,0.5000,0.0500,656.2000,0.3452,592.4191
1,10.0000,0.6000,0.0800,754.9000,0.2531,550.1877
1,9.0000,0.4000,0.1200,739.0000,0.2519,540.8372
1,9.0000,0.4000,0.1200,724.4000,0.2638,553.7423
1,9.0000,0.1000,0.2000,710.8000,0.2876,551.0776
1,9.0000,5.0000,0.0800,727.6000,0.2701,553.9152
1,10.0000,1.0000,0.1000,742.2000,0.2502,554.9411
1,9.0000,5.0000,0.1200,725.8000,0.2683,549.8589
1,7.0000,0.5000,0.0500,595.2000,0.4110,625.1007
1,7.0000,5.0000,0.1200,599.4000,0.4104,625.5575
1,10.0000,0.4000,0.0800,756.8000,0.2513,548.6561
1,5.0000,5.0000,0.1000,536.0000,0.4670,653.6580
1,4.0000,2.0000,0.0500,518.1000,0.4726,648.1990
1,4.0000,5.0000,0.2000,528.8000,0.4662,646.3763
1,11.0000,1.5000,0.5000,765.4000,0.2471,542.9773
1,9.0000,1.5000,0.2000,723.1000,0.2770,558.7077
1,4.0000,0.1000,0.5000,526.7000,0.4791,653.6911
1,10.0000,1.0000,0.2000,750.6000,0.2531,545.0655
1,9.0000,1.5000,1.0000,736.8000,0.2686,558.8943
1,7.0000,5.0000,0.1000,601.1000,0.3979,620.6717
1,7.0000,2.0000,0.5000,593.3000,0.4122,622.9148
1,5.0000,0.4000,0.0800,534.8000,0.4624,654.6736
1,4.0000,1.0000,0.1200,519.1000,0.4796,652.7287
1,9.0000,1.0000,0.5000,735.5000,0.2672,558.3759
1,6.0000,5.0000,0.0500,558.9000,0.4447,646.2697
1,11.0000,5.0000,0.1200,765.2000,0.2246,536.3596
1,10.0000,0.1000,0.1000,751.4000,0.2532,549.0654
1,9.0000,2.0000,0.0500,717.9000,0.2802,560.4710
1,10.0000,1.5000,0.5000,748.1000,0.2498,559.0554
1,8.0000,0.1000,0.5000,665.3000,0.3299,584.6685
1,10.0000,1.5000,0.2000,761.0000,0.2437,541.3137
1,10.0000,1.5000,0.1200,759.7000,0.2409,543.5240
1,10.0000,5.0000,1.0000,753.3000,0.2539,549.7096
1,9.0000,0.4000,0.1200,742.0000,0.2662,556.6400
1,4.0000,0.5000,0.2000,519.6000,0.4708,663.6884
1,8.0000,0.1000,0.1000,647.7000,0.3454,594.1426
1,8.0000,1.0000,0.1000,667.2000,0.3243,577.5010
1,9.0000,1.0000,0.1200,719.2000,0.2686,554.2613
1,7.0000,0.1000,0.1000,592.6000,0.4049,626.5820
1,5.0000,0.6000,0.0800,520.0000,0.4776,656.2253
1,6.0000,1.5000,0.0800,553.6000,0.4423,643.8576
1,11.0000,0.6000,0.5000,758.3000,0.2299,535.6341
2,10.0000,1.2000,0.4000,764.0000,0.2329,530.5552
2,10.0000,1.2000,0.5000,755.2000,0.2468,547.4011
2,10.0000,1.2000,0.6000,746.4000,0.2393,543.7967
2,10.0000,1.5000,0.4000,760.8000,0.2393,551.0946
2,10.0000,1.5000,0.5000,751.4000,0.2523,557.4827
2,10.0000,1.5000,0.6000,753.9000,0.2468,544.0152
2,10.0000,1.8000,0.4000,754.3000,0.2495,550.7681
2,10.0000,1.8000,0.5000,757.8000,0.2459,543.2807
2,10.0000,1.8000,0.6000,756.2000,0.2303,544.5986
2,11.0000,1.2000,0.4000,760.4000,0.2400,546.7420
2,11.0000,1.2000,0.5000,754.6000,0.2497,549.3522
2,11.0000,1.2000,0.6000,767.5000,0.2473,542.0390
2,11.0000,1.5000,0.4000,761.2000,0.2363,546.1965
2,11.0000,1.5000,0.5000,769.6000,0.2387,542.4060
2,11.0000,1.5000,0.6000,768.9000,0.2313,543.4847
2,11.0000,1.8000,0.4000,763.0000,0.2384,538.3082
2,11.0000,1.8000,0.5000,769.8000,0.2364,537.0820
2,11.0000,1.8000,0.6000,762.5000,0.2439,542.8247
2,12.0000,1.2000,0.4000,689.1000,0.3192,508.2857
2,12.0000,1.2000,0.5000,690.2000,0.3113,498.1610
2,12.0000,1.2000,0.6000,692.7000,0.3023,504.4359
2,12.0000,1.5000,0.4000,692.0000,0.3073,501.9512
2,12.0000,1.5000,0.5000,688.6000,0.3059,497.3262
2,12.0000,1.5000,0.6000,687.7000,0.3110,498.2386
2,12.0000,1.8000,0.4000,679.8000,0.3226,503.5037
2,12.0000,1.8000,0.5000,691.8000,0.3103,499.4713
2,12.0000,1.8000,0.6000,689.9000,0.3167,497.9876
