time_s,CSCT,CSCT_Est
1.0,131.53314303837615,8.193024654239327
2.0,189.80407579549518,10.83944678292243
3.0,159.43401015228426,1.2916791829378191
4.0,115.38063562453806,0.022829678582156804
5.0,75.19027565084227,0.0
6.0,24.527342256214148,0.0
7.0,4.63093415007657,0.0
8.0,1.538293216630197,0.0
9.0,6.5154150197628455,0.0
10.0,5.7032967032967035,0.0
11.0,230.66797257590596,28.404404873477038
12.0,712.2367632367632,330.5945945945946
13.0,859.5199203187251,461.5108275328693
14.0,826.5198807157058,431.2291666666667
15.0,825.7051282051282,431.3847745138602
16.0,849.093253968254,450.64611154752555
17.0,853.6749011857708,445.3027888446215
18.0,852.7590953785644,461.24190323870454
19.0,849.5137795275591,454.4233226837061
20.0,857.5697445972495,458.28445512820514
21.0,1314.020588235294,874.3412208504801
22.0,1872.993137254902,1289.1828548957924
23.0,1884.6270691333982,1316.743879472693
24.0,1866.2312195121951,1288.839352896915
25.0,1756.9117361784674,1191.0022658610271
26.0,1794.0811594202899,1237.6591800356507
27.0,1855.4735322425408,1285.8891402714933
28.0,1839.8747591522158,1258.8974169741698
29.0,1885.1766953199617,1310.3939609236234
30.0,1905.207027540361,1323.2359368676648
31.0,1388.8915094339623,866.6787287602266
32.0,850.4015009380863,436.9984387197502
33.0,820.2420560747663,404.6674641148325
34.0,786.1588613406796,367.12046204620464
35.0,801.8168402777778,379.144597887896
36.0,863.9541778975741,429.6510621557828
37.0,845.8163265306123,407.1399839098954
38.0,778.8260869565217,352.5482275350371
39.0,777.0747028862479,329.662635529608
40.0,798.5809806835067,337.5003933910307
41.0,508.13847364280093,147.4690927218345
42.0,97.35806772908367,1.7829204693611473
43.0,10.596516007532957,0.0
44.0,2.631053036126057,0.0
45.0,0.7944277108433735,0.0
46.0,5.519155590304925,0.0
47.0,4.990015360983103,0.0
48.0,2.180766449746927,0.0
49.0,1.5389177168272794,0.0
