time_s,CSCT,CSCT_Oracle
1.0,149.91367137355584,5.357201646090535
2.0,209.91294559099438,5.73132372214941
3.0,163.83835415135928,1.202239789196311
4.0,119.62736373748609,0.0
5.0,81.58715251690458,0.0
6.0,27.034107946026985,0.0
7.0,2.367864693446089,0.0
8.0,0.9215686274509803,0.0
9.0,1.9745958429561201,0.0
10.0,1.2428256070640176,0.0
11.0,187.05608365019012,15.18605817452357
12.0,636.2467917077986,290.9967624443545
13.0,827.5816929133858,462.34950298210737
14.0,895.8243902439025,520.586887835703
15.0,843.728431372549,477.13455414012736
16.0,861.0705190989227,499.96596434359805
17.0,799.5272373540856,444.5065466448445
18.0,875.034046692607,508.67359168997206
19.0,883.9496124031008,504.37335984095427
20.0,857.9281663516068,481.2410358565737
21.0,1383.9039385206531,983.936136579197
22.0,1916.0210325047801,1495.7836712024437
23.0,1866.6577946768061,1443.4939393939394
24.0,1891.9075471698113,1466.6726618705036
25.0,1846.6820319849483,1412.7757009345794
26.0,1867.0831775700935,1434.5472991499862
27.0,1885.046918123275,1452.0158136860264
28.0,1888.237659963437,1429.9188668866886
29.0,1831.6699819168173,1370.4083526682134
30.0,1871.696619217082,1396.5551385681292
31.0,1363.3952464788733,926.3043062200957
32.0,899.7894280762565,490.88470233609644
33.0,869.1938250428816,448.30573248407643
34.0,782.4767054908485,366.64465538588524
35.0,779.1788268955651,343.4012944983819
36.0,803.7022603273577,370.15654952076676
37.0,756.5342987804878,314.74756097560976
38.0,707.5926470588236,251.13447432762837
39.0,748.573665480427,266.2808219178082
40.0,731.0199637023593,233.57552809884416
41.0,429.2273514137334,87.76119402985074
42.0,116.75614194722475,0.4580602883355177
43.0,26.71323529411765,0.0
44.0,2.0581560283687943,0.0
45.0,3.137392661982826,0.0
46.0,3.0357142857142856,0.0
47.0,3.578125,0.0
48.0,3.0206033848417952,0.0
49.0,3.071648690292758,0.0
