tag_failure_probability,ABP,ACDQT,CSCT,DCT,MRSMBA,TAD
0.0000,858.0240,4833.1531,615.1818,471.2051,325.0898,2560.0048
0.0100,859.7061,4692.2040,617.1350,474.9748,327.3619,2718.3753
0.0200,859.8372,4619.1451,610.6233,475.0868,327.9326,2820.7839
0.0300,828.3268,4288.7582,617.9746,478.8167,339.5897,2545.1342
0.0400,866.3999,4450.8860,616.1157,476.2759,358.4431,2584.6924
0.0500,865.1493,4393.9306,610.4576,471.4646,349.9051,2595.4292
0.0600,840.0003,4210.0910,610.7461,473.2335,353.8247,2510.5203
0.0700,852.9157,4282.7549,620.1188,472.6612,367.7537,2597.8517
0.0800,850.2670,4316.1731,616.5010,479.6691,358.0057,2402.7811
0.0900,862.7572,4247.4313,619.3841,479.3321,386.8029,2369.3241
0.1000,863.2265,4224.1272,613.7704,473.9757,370.6902,2596.3935
